igra_id,konzola_id
1,1
2,1
2,2
3,3
3,1
4,1
5,4
5,5
5,6
5,7
5,1
6,8
7,9
8,10
8,1
8,11
9,11
9,2
9,1
9,12
9,10
9,13
10,1
10,13
10,2
11,2
11,1
11,13
11,12
11,11
11,10
12,14
13,10
13,11
13,1
14,1
14,15
15,10
16,1
16,13
16,2
17,13
17,2
17,1
18,1
19,16
19,1
20,17
21,1
22,1
22,18
22,16
23,8
23,1
24,19
24,20
25,21
26,21
27,1
28,1
29,22
29,1
30,1
31,23
32,1
32,16
32,18
33,1
33,3
33,21
33,12
34,10
35,13
35,10
35,12
35,2
35,1
35,11
36,12
37,1
38,1
39,1
40,1
41,18
41,1
41,16
42,21
43,3
44,17
45,21
46,8
47,16
47,18
47,1
48,1
48,16
49,8
50,7
51,1
52,19
53,24
54,3
55,1
56,21
56,1
56,18
56,16
56,3
57,1
58,25
59,7
59,1
59,4
60,26
60,20
60,19
61,5
61,27
61,1
61,6
61,4
62,18
62,1
62,16
63,1
64,28
64,8
64,4
64,1
65,1
65,16
66,29
66,24
66,19
66,18
66,1
67,3
67,21
68,1
68,13
69,13
69,2
69,10
69,18
69,1
69,21
69,12
69,11
70,30
70,4
70,24
70,12
71,2
71,13
71,18
71,10
71,12
71,1
71,11
72,10
72,1
72,21
72,13
72,2
73,11
73,1
73,10
74,21
74,3
74,16
74,1
75,3
76,9
76,25
77,12
78,8
79,31
80,32
80,1
80,15
81,1
82,1
83,1
83,13
83,2
83,10
83,12
83,11
84,1
84,10
84,13
85,1
85,18
85,16
86,7
87,1
88,1
89,10
89,1
89,12
89,18
90,1
90,15
90,32
91,1
91,18
92,15
92,1
92,32
92,16
92,18
92,11
93,1
93,10
93,11
94,1
95,1
96,1
96,15
96,32
97,8
98,18
98,1
99,18
99,1
100,1
101,23
102,12
102,2
102,11
102,10
102,13
102,1
103,18
103,1
104,1
105,1
106,21
106,3
107,13
107,2
107,10
107,1
107,11
108,20
109,21
109,3
110,1
111,19
112,1
112,16
112,18
112,3
113,21
113,3
113,31
114,9
115,14
116,1
117,1
118,1
119,1
120,31
121,23
122,25
123,1
124,1
124,16
124,3
124,21
124,18
125,18
125,1
126,2
126,13
126,10
126,12
127,16
127,18
127,1
128,1
129,1
130,15
130,19
130,20
131,1
131,19
131,15
131,10
132,1
132,3
132,21
133,25
133,9
134,1
134,18
135,1
135,16
136,21
136,17
136,3
137,21
137,3
138,1
138,18
139,1
139,21
140,1
141,22
141,1
142,1
143,1
144,1
145,1
146,1
146,11
146,10
146,12
147,1
147,10
148,8
149,31
150,33
151,15
151,10
152,2
152,10
152,13
152,12
152,1
153,9
154,1
155,16
155,18
155,32
155,1
155,15
156,25
157,10
157,31
157,1
157,18
157,16
157,12
158,10
158,2
158,11
158,13
158,1
159,1
160,13
160,10
160,1
160,11
160,2
161,1
162,1
163,1
164,31
164,12
164,11
164,10
164,21
164,1
165,1
165,13
166,1
167,12
167,1
167,10
167,11
168,28
169,10
169,12
169,18
169,1
169,21
169,11
170,19
171,13
171,2
171,1
172,10
172,12
172,1
172,11
172,13
172,2
173,1
174,12
175,1
175,13
175,2
176,1
177,18
177,1
178,13
178,10
178,1
178,12
179,1
180,1
181,1
182,1
183,1
184,1
185,1
185,18
186,1
187,1
187,12
187,10
188,1
188,18
188,16
188,3
189,1
190,1
190,12
190,3
190,21
190,10
190,31
191,17
191,21
191,3
192,10
192,11
192,16
192,18
192,1
192,12
193,18
193,11
193,12
193,1
194,13
194,10
194,2
194,12
194,11
194,1
195,1
195,18
195,16
195,3
196,1
197,16
197,18
197,1
198,1
199,1
200,1
